date,symbol,open,high,low,close,volume,amount
2020-01-02,SH600519,896.77,913.83,884.77,898.77,148099.16,148099.16
2020-01-03,SH600519,885.77,885.77,845.67,847.33,130318.78,130318.78
2020-01-06,SH600519,839.63,861.67,836.07,846.76,63414.78,63414.78
2020-01-07,SH600519,846.27,867.77,845.17,863.3,47853.59,47853.59
2020-01-08,SH600519,853.82,864.27,851.35,856.91,25008.25,25008.25
2020-01-09,SH600519,862.77,874.16,858.77,871.47,37405.87,37405.87
2020-01-10,SH600519,877.77,884.76,871.27,881.27,35975.87,35975.87
2020-01-13,SH600519,881.27,897.97,880.77,893.04,38515.75,38515.75
2020-01-14,SH600519,892.97,893.66,871.77,876.17,35144.65,35144.65
2020-01-15,SH600519,877.78,890.37,873.77,880.9,26029.11,26029.11
2020-01-16,SH600519,887.64,887.64,871.35,875.77,23191.65,23191.65
2020-01-17,SH600519,878.77,881.55,869.78,876.27,23472.75,23472.75
2020-01-20,SH600519,880.63,880.63,850.77,859.77,35391.3,35391.3
2020-01-21,SH600519,849.77,855.77,841.07,844.07,32874.05,32874.05
2020-01-22,SH600519,838.77,852.77,824.15,844.28,36200.04,36200.04
2020-01-23,SH600519,844.77,844.77,805.77,821.57,53468.43,53468.43
2020-02-03,SH600519,753.77,779.45,748.77,772.69,123442.88,123442.88
2020-02-04,SH600519,783.77,825.77,779.78,806.78,62624.18,62624.18
2020-02-05,SH600519,818.77,822.77,801.8,818.76,47418.24,47418.24
2020-02-06,SH600519,828.2,843.77,820.79,839.77,47171.21,47171.21
2020-02-07,SH600519,838.78,845.77,829.79,844.77,31278.71,31278.71
2020-02-10,SH600519,830.77,843.37,825.97,835.26,30533.42,30533.42
2020-02-11,SH600519,831.77,868.45,831.57,866.77,47917.93,47917.93
2020-02-12,SH600519,857.77,867.56,854.65,866.04,28125.43,28125.43
2020-02-13,SH600519,866.77,882.66,856.78,859.77,30357.36,30357.36
2020-02-14,SH600519,859.22,862.28,851.88,856.77,23287.6,23287.6
2020-02-17,SH600519,851.27,864.96,851.17,862.59,27028.22,27028.22
2020-02-18,SH600519,858.78,865.65,851.77,852.77,26664.96,26664.96
2020-02-19,SH600519,853.77,870.27,846.77,865.27,37051.47,37051.47
2020-02-20,SH600519,865.47,892.77,864.18,886.77,46802.62,46802.62
2020-02-21,SH600519,880.23,892.31,878.78,881.65,28940.08,28940.08
2020-02-24,SH600519,874.27,878.77,854.27,855.95,38650.36,38650.36
2020-02-25,SH600519,846.77,850.86,836.65,843.58,38385.62,38385.62
2020-02-26,SH600519,830.77,852.77,823.77,842.47,43560.97,43560.97
2020-02-27,SH600519,844.77,863.76,844.77,856.16,34498.29,34498.29
2020-02-28,SH600519,839.07,850.77,818.74,825.77,49946.57,49946.57
2020-03-02,SH600519,818.88,865.32,818.78,854.78,47663.04,47663.04
2020-03-03,SH600519,866.77,887.65,866.77,881.77,50250.15,50250.15
2020-03-04,SH600519,893.77,907.77,885.01,897.69,53792.99,53792.99
2020-03-05,SH600519,905.08,943.76,899.33,939.77,62426.45,62426.45
2020-03-06,SH600519,931.77,944.77,920.75,924.27,30641.0,30641.0
2020-03-09,SH600519,903.77,903.77,880.08,882.78,43404.09,43404.09
2020-03-10,SH600519,881.77,936.77,881.77,924.77,58062.93,58062.93
2020-03-11,SH600519,924.27,938.35,909.77,927.29,35547.57,35547.57
2020-03-12,SH600519,909.99,921.77,893.87,907.27,36630.63,36630.63
2020-03-13,SH600519,858.77,897.75,848.77,880.8,75885.31,75885.31
2020-03-16,SH600519,872.75,876.72,830.77,835.77,51232.54,51232.54
2020-03-17,SH600519,823.77,846.77,779.89,813.87,79359.12,79359.12
2020-03-18,SH600519,808.77,828.77,776.76,776.76,73459.88,73459.88
2020-03-19,SH600519,762.76,783.77,728.87,764.77,102265.07,102265.07
2020-03-20,SH600519,779.77,811.77,779.77,804.05,60139.19,60139.19
2020-03-23,SH600519,768.77,804.05,760.29,787.77,48472.1,48472.1
2020-03-24,SH600519,811.77,827.65,803.77,824.77,46650.96,46650.96
2020-03-25,SH600519,856.75,860.13,842.97,848.87,37048.66,37048.66
2020-03-26,SH600519,842.1,859.97,830.77,833.69,30048.56,30048.56
2020-03-27,SH600519,853.77,860.77,843.78,844.27,36261.12,36261.12
2020-03-30,SH600519,829.02,845.77,825.77,840.77,30687.41,30687.41
2020-03-31,SH600519,850.77,883.77,850.57,879.77,47984.37,47984.37
2020-04-01,SH600519,885.77,897.77,871.77,871.77,33205.35,33205.35
2020-04-02,SH600519,872.77,913.77,872.65,913.77,45205.61,45205.61
2020-04-03,SH600519,907.8,916.73,900.75,908.56,27617.61,27617.61
2020-04-07,SH600519,930.72,935.27,917.66,928.72,43488.0,43488.0
2020-04-08,SH600519,920.77,935.08,920.77,928.53,24224.42,24224.42
2020-04-09,SH600519,934.77,937.77,916.73,927.27,22816.97,22816.97
2020-04-10,SH600519,926.65,950.27,922.27,933.77,27804.34,27804.34
2020-04-13,SH600519,933.77,938.75,917.27,931.07,15981.47,15981.47
2020-04-14,SH600519,944.77,960.32,934.77,953.87,36799.55,36799.55
2020-04-15,SH600519,960.77,972.76,955.87,958.37,29332.29,29332.29
2020-04-16,SH600519,961.74,965.87,952.87,965.87,21727.74,21727.74
2020-04-17,SH600519,978.77,1003.33,973.78,994.77,38245.69,38245.69
2020-04-20,SH600519,989.77,1000.27,985.57,996.07,24238.64,24238.64
2020-04-21,SH600519,989.79,992.76,961.77,968.77,29224.22,29224.22
2020-04-22,SH600519,974.77,1018.27,970.99,1013.27,44034.73,44034.73
2020-04-23,SH600519,1018.77,1034.44,1016.54,1021.03,26898.51,26898.51
2020-04-24,SH600519,1016.77,1028.66,1003.95,1019.33,19122.4,19122.4
2020-04-27,SH600519,1025.77,1046.94,1019.73,1044.77,25903.91,25903.91
2020-04-28,SH600519,1054.08,1068.71,1040.65,1047.9,34661.9,34661.9
2020-04-29,SH600519,1046.56,1056.87,1026.77,1043.67,23444.06,23444.06
2020-04-30,SH600519,1039.77,1053.78,1027.65,1034.47,24660.87,24660.87
2020-05-06,SH600519,1019.77,1068.77,1018.77,1068.77,35834.81,35834.81
2020-05-07,SH600519,1068.17,1083.76,1061.77,1080.77,27934.74,27934.74
2020-05-08,SH600519,1085.77,1106.77,1077.28,1083.38,29078.68,29078.68
2020-05-11,SH600519,1088.77,1103.77,1082.44,1091.78,23671.19,23671.19
2020-05-12,SH600519,1086.77,1103.76,1084.77,1101.77,19721.81,19721.81
2020-05-13,SH600519,1101.77,1106.76,1091.65,1104.72,22014.31,22014.31
2020-05-14,SH600519,1098.77,1103.65,1093.88,1095.36,18574.92,18574.92
2020-05-15,SH600519,1097.77,1102.27,1070.65,1081.77,26398.08,26398.08
2020-05-18,SH600519,1074.77,1120.27,1073.9,1114.98,34362.11,34362.11
