date,symbol,open,high,low,close,volume,amount
2024-06-03,SZ000002,8.18,8.26,8.01,8.09,2166522.0,2166522.0
2024-06-04,SZ000002,8.08,8.47,7.97,8.36,3468694.0,3468694.0
2024-06-05,SZ000002,8.29,8.32,8.11,8.11,1891027.0,1891027.0
2024-06-06,SZ000002,8.2,8.3,7.93,8.02,1980537.0,1980537.0
2024-06-07,SZ000002,8.02,8.27,8.0,8.17,2326428.0,2326428.0
2024-06-11,SZ000002,8.08,8.24,7.91,8.01,1938258.0,1938258.0
2024-06-12,SZ000002,7.96,8.05,7.85,7.89,1900565.0,1900565.0
2024-06-13,SZ000002,7.95,7.97,7.68,7.71,2272705.0,2272705.0
2024-06-14,SZ000002,7.67,8.12,7.65,7.94,2762137.0,2762137.0
2024-06-17,SZ000002,7.82,7.89,7.62,7.65,2144249.0,2144249.0
2024-06-18,SZ000002,7.65,7.72,7.5,7.53,1769636.0,1769636.0
2024-06-19,SZ000002,7.53,7.58,7.43,7.47,1460033.0,1460033.0
2024-06-20,SZ000002,7.46,7.46,7.2,7.21,1820994.0,1820994.0
2024-06-21,SZ000002,7.23,7.34,7.16,7.19,1460896.0,1460896.0
2024-06-24,SZ000002,7.13,7.14,6.96,6.99,1534809.0,1534809.0
2024-06-25,SZ000002,6.99,7.27,6.96,7.11,2005848.0,2005848.0
2024-06-26,SZ000002,7.05,7.21,7.0,7.19,1341792.0,1341792.0
2024-06-27,SZ000002,7.19,7.3,7.0,7.0,1511663.0,1511663.0
2024-06-28,SZ000002,6.95,7.13,6.91,6.93,1585789.0,1585789.0
2024-07-01,SZ000002,6.9,7.33,6.9,7.29,2655329.0,2655329.0
2024-07-02,SZ000002,7.24,7.35,7.1,7.13,1830025.0,1830025.0
2024-07-03,SZ000002,7.13,7.27,7.03,7.16,1623862.0,1623862.0
2024-07-04,SZ000002,7.12,7.14,6.94,6.94,1469395.0,1469395.0
2024-07-05,SZ000002,6.94,7.01,6.83,6.88,1170783.0,1170783.0
2024-07-08,SZ000002,6.84,6.84,6.62,6.67,1535081.0,1535081.0
2024-07-09,SZ000002,6.66,6.77,6.56,6.71,1385601.0,1385601.0
2024-07-10,SZ000002,6.45,6.73,6.32,6.65,1825180.0,1825180.0
2024-07-11,SZ000002,6.73,6.87,6.64,6.81,1497954.0,1497954.0
2024-07-12,SZ000002,6.88,7.15,6.85,6.95,2275360.0,2275360.0
2024-07-15,SZ000002,6.85,6.93,6.77,6.83,1167585.0,1167585.0
2024-07-16,SZ000002,6.85,7.02,6.78,6.92,1352605.0,1352605.0
2024-07-17,SZ000002,6.92,7.25,6.9,7.12,2200785.0,2200785.0
2024-07-18,SZ000002,7.12,7.14,6.98,7.14,1239653.0,1239653.0
2024-07-19,SZ000002,7.08,7.1,6.91,7.06,1468848.0,1468848.0
2024-07-22,SZ000002,7.09,7.12,6.92,6.98,1031927.0,1031927.0
2024-07-23,SZ000002,6.98,7.07,6.84,6.85,974233.0,974233.0
2024-07-24,SZ000002,6.84,6.92,6.64,6.65,1153494.0,1153494.0
2024-07-25,SZ000002,6.64,6.79,6.59,6.7,817450.0,817450.0
2024-07-26,SZ000002,6.72,6.95,6.72,6.84,928799.0,928799.0
2024-07-29,SZ000002,6.85,6.87,6.66,6.69,968259.0,968259.0
2024-07-30,SZ000002,6.67,6.8,6.65,6.75,1074764.0,1074764.0
2024-07-31,SZ000002,6.73,7.09,6.67,7.09,2048902.0,2048902.0
2024-08-01,SZ000002,7.07,7.15,6.89,6.9,1509050.0,1509050.0
2024-08-02,SZ000002,6.83,6.94,6.8,6.81,1074234.0,1074234.0
2024-08-05,SZ000002,6.78,7.02,6.76,6.78,1576610.0,1576610.0
2024-08-06,SZ000002,6.85,6.92,6.77,6.88,1263769.0,1263769.0
2024-08-07,SZ000002,6.84,6.85,6.72,6.79,935649.0,935649.0
2024-08-08,SZ000002,6.84,7.1,6.73,6.92,2032811.0,2032811.0
2024-08-09,SZ000002,6.92,7.38,6.89,7.18,3595754.0,3595754.0
2024-08-12,SZ000002,7.15,7.21,6.86,6.88,1928459.0,1928459.0
2024-08-13,SZ000002,6.85,6.88,6.76,6.83,1060586.0,1060586.0
2024-08-14,SZ000002,6.83,6.86,6.77,6.78,609928.0,609928.0
2024-08-15,SZ000002,6.77,6.93,6.72,6.91,1275474.0,1275474.0
2024-08-16,SZ000002,6.87,6.92,6.79,6.8,915966.0,915966.0
2024-08-19,SZ000002,6.77,6.88,6.74,6.8,749189.0,749189.0
2024-08-20,SZ000002,6.79,6.81,6.66,6.67,861589.0,861589.0
2024-08-21,SZ000002,6.66,6.68,6.53,6.55,1038372.0,1038372.0
