date,open,high,low,close,volume
2026-03-05 11:00:00,73388.91,73449.96,73053.54,73190.73,630.39613
2026-03-05 11:15:00,73190.74,73190.74,72910.02,73122.37,252.17141
2026-03-05 11:30:00,73122.37,73122.37,72766.75,72837.66,549.93523
2026-03-05 11:45:00,72837.67,72949.51,72790.39,72915.79,658.64941
2026-03-05 12:00:00,72915.8,73024.2,72666.93,72947.28,240.99214
2026-03-05 12:15:00,72947.28,72964.12,72706.54,72809.1,210.17582
2026-03-05 12:30:00,72809.1,72943.8,72700.0,72903.29,115.20069
2026-03-05 12:45:00,72903.28,73063.38,72886.59,72890.73,163.62287
2026-03-05 13:00:00,72890.73,72935.3,72588.3,72670.1,174.93357
2026-03-05 13:15:00,72670.1,72773.65,72333.85,72523.38,253.42923
2026-03-05 13:30:00,72523.39,72538.63,72189.7,72518.31,274.55806
2026-03-05 13:45:00,72518.31,72694.23,72400.75,72467.79,406.06773
2026-03-05 14:00:00,72467.79,72633.7,72320.65,72613.91,210.6869
2026-03-05 14:15:00,72613.91,72624.63,72414.76,72552.36,176.44946
2026-03-05 14:30:00,72552.37,72835.73,71944.18,72004.99,647.00071
2026-03-05 14:45:00,72004.99,72772.97,71967.38,72609.29,412.49792
2026-03-05 15:00:00,72609.3,72770.0,71610.57,71798.63,762.05161
2026-03-05 15:15:00,71798.63,71910.98,71252.1,71278.46,633.21074
2026-03-05 15:30:00,71278.46,71664.85,71168.65,71457.5,577.68676
2026-03-05 15:45:00,71457.5,71745.27,71309.92,71652.77,348.99402
2026-03-05 16:00:00,71652.77,71654.65,70786.06,71005.23,869.13797
2026-03-05 16:15:00,71005.23,71132.83,70805.29,70995.76,300.25593
2026-03-05 16:30:00,70995.76,71632.08,70985.16,71340.62,412.76978
2026-03-05 16:45:00,71340.62,71419.0,71205.17,71305.92,154.0874
2026-03-05 17:00:00,71305.92,71572.0,71012.71,71171.52,396.71114
2026-03-05 17:15:00,71171.53,71200.0,70893.88,70928.41,220.66828
2026-03-05 17:30:00,70928.41,71014.0,70717.14,70857.95,330.76918
2026-03-05 17:45:00,70857.94,70928.41,70645.47,70704.41,275.22233
2026-03-05 18:00:00,70703.37,71044.0,70656.63,71027.55,224.99703
2026-03-05 18:15:00,71027.54,71066.78,70779.25,70818.87,198.17048
2026-03-05 18:30:00,70818.86,71090.32,70800.0,70950.57,158.98419
2026-03-05 18:45:00,70950.57,71021.86,70817.02,70990.65,138.40403
2026-03-05 19:00:00,70990.66,71421.15,70990.66,71368.4,256.95256
2026-03-05 19:15:00,71368.4,71430.78,71044.05,71107.41,149.50571
2026-03-05 19:30:00,71107.4,71160.34,70929.98,71006.8,114.93449
2026-03-05 19:45:00,71006.81,71117.81,70870.0,70918.07,105.08468
2026-03-05 20:00:00,70918.08,71109.93,70840.0,71100.0,156.35584
2026-03-05 20:15:00,71100.0,71338.41,71072.8,71178.64,132.06255
2026-03-05 20:30:00,71178.63,71394.45,71130.0,71155.91,83.98476
2026-03-05 20:45:00,71155.91,71350.0,71042.85,71236.51,124.33726
2026-03-05 21:00:00,71236.51,71349.63,71231.29,71301.71,68.11015
2026-03-05 21:15:00,71301.71,71572.3,71295.72,71517.81,269.94508
2026-03-05 21:30:00,71517.8,71567.75,71113.33,71189.0,131.70032
2026-03-05 21:45:00,71188.99,71322.55,71023.52,71141.93,76.73136
2026-03-05 22:00:00,71141.93,71255.99,71093.46,71165.24,298.53753
2026-03-05 22:15:00,71165.25,71295.86,71074.45,71160.45,300.12445
2026-03-05 22:30:00,71160.45,71364.45,71151.22,71276.46,117.12409
2026-03-05 22:45:00,71276.46,71341.63,71208.53,71208.54,118.83958
2026-03-05 23:00:00,71208.54,71281.19,71183.47,71197.02,112.63766
2026-03-05 23:15:00,71197.02,71292.44,71162.0,71213.98,411.35088
2026-03-05 23:30:00,71213.99,71219.26,70811.44,70919.43,223.44605
2026-03-05 23:45:00,70919.43,70951.85,70777.0,70890.72,319.64171
2026-03-06 00:00:00,70891.02,71047.95,70833.36,71018.3,187.54243
